Trading_Date,Return,Equity
2018-01-02,0.0,1.0
2018-01-03,0.0,1.0
2018-01-04,0.0,1.0
2018-01-05,-0.006582670557369775,0.9934173294426302
2018-01-08,0.003398119931932109,0.996793080670536
2018-01-09,0.014254127487318378,1.0110014963208906
2018-01-10,-0.0064464023955283604,1.004484173853125
2018-01-11,-0.02088942227838339,0.9835010797735539
2018-01-12,0.007948069363585775,0.9913180145747557
2018-01-16,0.004925858886953861,0.9962011072266461
2018-01-17,-0.004409860089118922,0.9918079997231513
2018-01-18,0.010748895529082224,1.0024688402970834
2018-01-19,0.002856948039484597,1.0053328416850147
2018-01-22,0.02041695089680997,1.025858672948648
2018-01-23,0.00010380944078444113,1.0259651667638106
2018-01-24,-0.0013967909141727628,1.024532107940617
2018-01-25,-0.009221836396586391,1.015084040458139
2018-01-26,-0.006149377512458098,1.0088419054864906
2018-01-29,0.007196342472861628,1.0161018773393455
2018-01-30,0.007047103441100101,1.023262452375652
2018-01-31,-0.0031849132286132066,1.0200034502547375
2018-02-01,0.0031107468585385356,1.0231764227833158
2018-02-02,-0.0031211074423970224,1.0199829792352817
2018-02-05,0.007563486600422054,1.0276976068313863
2018-02-06,0.020316134284413503,1.0485764494155432
2018-02-07,0.00035690767972544786,1.0489506944031188
2018-02-08,-0.0007789694519735896,1.0481335938555523
2018-02-09,0.03108617412193766,1.0807160572571983
2018-02-12,0.003399655333867645,1.084390119365649
2018-02-13,0.00101596056652351,1.0854918169656522
2018-02-14,0.001432392661290193,1.0870466674781645
2018-02-15,0.005062828903384288,1.0925501987656006
2018-02-16,0.010291293791935673,1.103793953843535
2018-02-20,-0.0004688963966552925,1.103276388835928
2018-02-21,-0.010127727417504062,1.0921027063036297
2018-02-22,-0.006617613873048134,1.0848755922836013
2018-02-23,0.0043440525525060975,1.0895883488694125
2018-02-26,0.0018350185072722896,1.091587763654896
2018-02-27,0.011848323022137465,1.104521248085692
2018-02-28,-0.012310390513292791,1.0909241601915276
2018-03-01,-0.013751681607586485,1.07592211848255
2018-03-02,0.018730222152374944,1.096074378780382
2018-03-05,-0.0003036963460617218,1.0957415049965344
2018-03-06,0.006624689365961556,1.1030004520925278
2018-03-07,0.013290695207857974,1.1176600949154192
2018-03-08,0.003369691318760413,1.1214262644345807
2018-03-09,-0.0028145401795524505,1.1182699651549242
2018-03-12,-0.00127017448326906,1.1168495671797782
2018-03-13,-0.005473559056592626,1.1107364251164897
2018-03-14,0.00038184566997415603,1.1111605550109032
2018-03-15,0.0014599902738897438,1.1127828386139489
2018-03-16,-0.0010559628505570136,1.1116077812756353
2018-03-19,0.0015672688171988307,1.113349969488184
2018-03-20,0.007579124257049351,1.1217881872485171
2018-03-21,-0.0001336781797801733,1.1216382286455469
2018-03-22,0.008544680296730977,1.1312222687179148
2018-03-23,-0.0009951606196112565,1.1300965208640594
2018-03-26,-0.0017468811724554731,1.1281223765287045
2018-03-27,-0.01543641937181105,1.1107082064218832
2018-03-28,0.016835459853535895,1.1294074898400916
2018-03-29,0.012606538482343546,1.1436454088230077
2018-04-02,-0.0071022279215740124,1.135522978468085
2018-04-03,-0.01574357128061793,1.117645791515793
2018-04-04,0.012314962335857793,1.13140955734314
2018-04-05,-0.006202993418020808,1.1243914313058547
2018-04-06,-0.001817753328799532,1.122347565038725
2018-04-09,-0.0008994085866859372,1.121338116001483
2018-04-10,-0.005901993674556216,1.1147199855338035
2018-04-11,-0.002712194292349978,1.1116966483514703
2018-04-12,0.012144222104850378,1.1251973393622683
2018-04-13,0.010395502607303198,1.1368943312373394
2018-04-16,0.025662954436339182,1.1660703986588155
2018-04-17,-0.003828232122091846,1.1616064105020494
2018-04-18,-0.00439516480996698,1.1565009588835788
2018-04-19,-0.013976979504127974,1.1403365686847586
2018-04-20,0.007777307982382421,1.1492053173829933
2018-04-23,0.004894980921687954,1.1548306554866854
2018-04-24,-0.0009884728763014273,1.1536891367070155
2018-04-25,-0.00176067761740185,1.1516578620665758
2018-04-26,-0.005774411138747316,1.1450077160798326
2018-04-27,0.0025439750318648428,1.1479205871208322
2018-04-30,0.000551757185411117,1.1485539605530575
2018-05-01,-0.01962334848132853,1.1260154859355147
2018-05-02,-0.015777865864463603,1.1082493646371154
2018-05-03,-0.0021529181972776324,1.1058633944128669
2018-05-04,-0.010541939194150064,1.09420544975193
2018-05-07,-0.004473638137571789,1.0893103705215808
2018-05-08,-0.005845881318085256,1.082942391376952
2018-05-09,-0.018604375257648256,1.0627949247453603
2018-05-10,-0.01497388333089108,1.04688075753756
2018-05-11,0.0036317440278617504,1.0506827604766305
2018-05-14,-0.0021250637142732234,1.0484499926671291
2018-05-15,0.004984379850820264,1.0536758656851717
2018-05-16,0.0013938845804911779,1.055144568227186
2018-05-17,-0.007894691721694281,1.0468145271392122
2018-05-18,0.014805105596463522,1.0623127267534203
2018-05-21,0.00022944492533872977,1.0625564690176967
2018-05-22,-0.006566452494038578,1.0555792424416588
2018-05-23,0.0010601577919979724,1.0566983230006046
2018-05-24,-0.00308088608862811,1.0534427558373953
2018-05-25,0.022000020450213757,1.0766185180089476
2018-05-29,-0.000977022855313682,1.075566637110399
2018-05-30,-0.005773431882098289,1.0693569263963845
2018-05-31,0.01394225473359395,1.0842661730653358
2018-06-01,0.011987133145828976,1.0972634160473884
2018-06-04,0.001332710042812802,1.098725750021566
2018-06-05,0.005591405934167813,1.1048691717002594
