Trading_Date,Daily_Return,Equity_Curve
2018-01-02,0.00937995611600646,1.0093799561160064
2018-01-03,0.02230158461560093,1.031890728616619
2018-01-04,-0.0037539424847857212,1.0280170701708087
2018-01-05,0.016842496936707963,1.045331444526044
2018-01-08,-0.00543704519236683,1.0396479302211536
2018-01-09,-0.00730182061386434,1.0320566075331035
2018-01-10,-0.020042706998262928,1.0113713993426963
2018-01-11,0.018759321402538377,1.0303440404803008
2018-01-12,0.016520290370849774,1.0473656232109099
2018-01-16,0.013298142308608232,1.0612936403175128
2018-01-17,-0.0035055183227958747,1.057573256015513
2018-01-18,0.0004878686522553086,1.0580892128545867
2018-01-19,-0.0018353169488435255,1.0561472837888461
2018-01-22,0.014922814295151634,1.0719079735731558
2018-01-23,-0.00847420213705391,1.0628244087327772
2018-01-24,0.005859821626995888,1.0690523701887686
2018-01-25,0.0019462074934701876,1.071132967922542
2018-01-26,0.007093001178710656,1.0787305153265725
2018-01-29,0.015256802407427704,1.0951884936497727
2018-01-30,0.015505134274012282,1.1121695382991656
2018-01-31,-0.00499212447260955,1.1066174495293315
2018-02-01,-0.003195426604654095,1.103081334689931
