Trading_Date,Daily_Return,Equity_Curve
2018-01-02,0.009380077133426845,1.009380077133427
2018-01-03,0.022301614044242433,1.0318908820376043
2018-01-04,-0.0037539655132759367,1.0280171992529712
2018-01-05,0.016842570619114462,1.0453316515290536
2018-01-08,-0.005437230917534519,1.0396479419542823
2018-01-09,-0.007301856067913149,1.03205658232083
2018-01-10,-0.020042543503300363,1.0113715433717974
2018-01-11,0.018759216996427207,1.0303440816179203
2018-01-12,0.016520261223026276,1.0473656349958473
2018-01-16,0.013298004813346576,1.061293508251356
2018-01-17,-0.003505307115725177,1.0575733485650096
2018-01-18,0.00048796376275765966,1.0580894060355677
2018-01-19,-0.0018353057739593846,1.0561474884393054
2018-01-22,0.014922665988655149,1.0719080246440422
2018-01-23,-0.00847435193024251,1.0628242988063576
2018-01-24,0.005859858267235684,1.0690522985603372
2018-01-25,0.0019461998906941764,1.0711328880269417
2018-01-26,0.007093167420741487,1.0787306129315792
2018-01-29,0.015256595819531682,1.095188369891232
2018-01-30,0.015505252099738012,1.1121695416630966
2018-01-31,-0.00499208831013216,1.106617493095275
2018-02-01,-0.0031953799261653752,1.103081429771895
