Date,AAPL,ABBV,ADM,AGCO,AMD,AMZN,ASML,AVAV,AVGO,BA,BAC,BE,BG,BIIB,BLK,BYDDF,C,CAT,CF,CMI,DB,DE,ENPH,FSLR,GD,GILD,GOOGL,GS,HII,HSBC,INTC,ISRG,JNJ,JPM,LHX,LLY,LMT,META,MOS,MRK,MSFT,NEE,NFLX,NIO,NOC,NTR,NVDA,ORCL,PFE,PLUG,QCOM,REGN,RTX,RUN,SCHW,SEDG,SMG,TITN,TSLA,TSM,TXT,UBS,UNH,VRTX,WFC
2018-01-02,40.30418395996094,68.77315521240234,31.407625198364258,58.473087310791016,10.979999542236328,59.45050048828125,163.68588256835938,54.849998474121094,21.0866641998291,282.88641357421875,24.637496948242188,,52.96641159057617,334.1700134277344,414.35723876953125,2.8583130836486816,56.57959747314453,131.2938690185547,35.07304382324219,143.11846923828125,16.866777420043945,139.83761596679688,2.5999999046325684,70.43000030517578,165.74349975585938,54.54402160644531,53.22063064575195,213.14425659179688,192.7000732421875,32.57631301879883,39.330379486083984,125.08333587646484,110.76416778564453,85.90127563476562,121.71072387695312,75.02671813964844,255.92567443847656,180.00743103027344,23.238758087158203,41.593502044677734,78.870361328125,31.563587188720703,20.10700035095215,,267.0560607910156,41.626644134521484,4.928266525268555,41.10762023925781,23.83041763305664,2.4200000762939453,52.61402893066406,380.0325927734375,66.64505004882812,5.920000076293945,46.00039291381836,38.04999923706055,81.99732208251953,21.670000076293945,21.368667602539062,33.753231048583984,56.68741989135742,14.050142288208008,193.09048461914062,152.91000366210938,48.65332794189453
2018-01-03,40.29715347290039,69.84935760498047,31.164766311645508,58.79145050048828,11.550000190734863,60.209999084472656,164.92921447753906,54.66999816894531,21.317264556884766,283.80126953125,24.555103302001953,,54.10381317138672,339.8500061035156,418.7289733886719,2.9577603340148926,56.75459671020508,131.49456787109375,35.081172943115234,144.69468688964844,16.71844482421875,140.474853515625,2.5799999237060547,69.80000305175781,166.77688598632812,54.95625305175781,54.128631591796875,211.16012573242188,193.8663330078125,32.414710998535156,37.99557876586914,127.94000244140625,111.82223510742188,85.98882293701172,122.35323333740234,75.43428039550781,258.0709533691406,183.23211669921875,23.02947998046875,41.53430938720703,79.23741149902344,30.894033432006836,20.5049991607666,,268.28961181640625,42.090431213378906,5.2526140213012695,42.05970764160156,24.006988525390625,2.4200000762939453,53.21118927001953,391.1375732421875,67.6227035522461,6.050000190734863,46.071929931640625,39.04999923706055,82.14093017578125,21.739999771118164,21.149999618530273,34.32100296020508,57.01390075683594,14.27038860321045,195.1160430908203,152.00999450683594,49.02764129638672
2018-01-04,40.48434066772461,69.45101928710938,31.689659118652344,58.82411193847656,12.119999885559082,60.47949981689453,166.46725463867188,53.63999938964844,21.324373245239258,282.7243957519531,24.876453399658203,,54.8984260559082,339.989990234375,424.25677490234375,2.9128494262695312,57.45463180541992,133.3004150390625,35.447025299072266,146.90948486328125,17.25071144104004,141.28021240234375,2.5,69.13999938964844,169.64549255371094,54.39682388305664,54.33888244628906,214.11131286621094,196.62994384765625,32.48307418823242,37.29881286621094,125.63999938964844,111.81431579589844,87.22064971923828,122.01911163330078,75.77094268798828,262.497802734375,182.89474487304688,23.387001037597656,42.20756149291992,79.93482208251953,30.735275268554688,20.562999725341797,,269.9519958496094,42.23488235473633,5.280303001403809,42.47405242919922,24.059303283691406,2.4000000953674316,53.283809661865234,380.3802795410156,67.83587646484375,6.059999942779541,46.33126449584961,37.349998474121094,80.25862884521484,23.559999465942383,20.974666595458984,34.139976501464844,56.96442794799805,14.3919038772583,195.96292114257812,153.07000732421875,49.64088821411133
2018-01-05,40.94526290893555,70.66001892089844,31.478132247924805,59.21595764160156,11.880000114440918,61.457000732421875,168.41969299316406,53.400001525878906,21.45073127746582,294.32232666015625,24.99181365966797,,54.485538482666016,342.489990234375,427.8714599609375,2.890393018722534,57.3785285949707,135.4072265625,35.50394058227539,146.67501831054688,16.186174392700195,141.88204956054688,2.4700000286102295,69.16999816894531,169.22384643554688,54.853187561035156,55.05943298339844,213.01925659179688,197.55113220214844,32.4271240234375,37.55904769897461,126.336669921875,112.73714447021484,86.66070556640625,123.14141082763672,76.70125579833984,264.8759460449219,185.39512634277344,23.421884536743164,42.16316223144531,80.92584991455078,30.87570571899414,20.999000549316406,,269.6632080078125,42.371726989746094,5.325048923492432,42.72972106933594,24.10507583618164,2.359999895095825,53.63887023925781,382.5158386230469,68.4183120727539,6.010000228881836,46.51011657714844,37.900001525878906,81.37743377685547,23.059999465942383,21.10533332824707,34.93812942504883,57.87458419799805,14.27038860321045,199.69967651367188,155.69000244140625,49.97538757324219
2018-01-08,40.79317855834961,69.52788543701172,31.407625198364258,59.64858627319336,12.279999732971191,62.34349822998047,169.30384826660156,53.5,21.502065658569336,295.57073974609375,24.818777084350586,,53.69871139526367,329.6499938964844,431.062744140625,2.8968093395233154,56.70895004272461,138.81004333496094,34.73158645629883,147.20846557617188,15.96803092956543,142.58116149902344,2.4100000858306885,69.62000274658203,169.22384643554688,54.76485061645508,55.25382995605469,209.92628479003906,199.48648071289062,32.16606903076172,37.55904769897461,130.6199951171875,112.88031005859375,86.7887191772461,125.42021942138672,76.31141662597656,263.6547546386719,186.81398010253906,22.92483901977539,41.91902542114258,81.00846099853516,31.13010025024414,21.204999923706055,,269.6982421875,40.93476104736328,5.488211154937744,43.17930603027344,23.836950302124023,2.3299999237060547,53.477474212646484,370.0202331542969,69.06831359863281,6.050000190734863,46.71580123901367,38.349998474121094,82.48111724853516,23.6200008392334,22.42733383178711,34.92167282104492,57.7261962890625,14.338740348815918,196.23355102539062,156.88999938964844,49.4099235534668
2018-01-09,40.78849411010742,70.0520248413086,31.509479522705078,60.26084899902344,11.819999694824219,62.6349983215332,168.39208984375,53.779998779296875,21.20433235168457,303.46148681640625,24.94237518310547,,54.24402618408203,336.3599853515625,434.685546875,2.8936009407043457,57.30244064331055,139.14447021484375,34.52833557128906,147.0791473388672,15.819695472717285,146.5547637939453,2.380000114440918,70.0199966430664,170.1993408203125,57.48834991455078,55.183406829833984,211.70201110839844,202.15716552734375,32.414710998535156,36.618804931640625,132.53334045410156,114.67031860351562,87.22862243652344,124.7519760131836,76.24940490722656,265.5428161621094,186.4071807861328,22.767885208129883,42.02260208129883,80.95338439941406,30.902158737182617,20.930999755859375,,271.5617980957031,40.052818298339844,5.486729145050049,43.41826248168945,23.810792922973633,2.319999933242798,52.67050552368164,366.17620849609375,69.82235717773438,6.010000228881836,47.69947814941406,37.20000076293945,81.83102416992188,23.229999542236328,22.246000289916992,34.707733154296875,57.825130462646484,14.376713752746582,197.21136474609375,156.00999450683594,49.58512878417969
2018-01-10,40.77912521362305,69.66765594482422,31.266605377197266,58.9710578918457,11.960000038146973,62.71649932861328,166.43038940429688,52.86000061035156,20.756553649902344,305.2055358886719,25.173091888427734,,54.05706787109375,336.7200012207031,432.7561340332031,2.829441547393799,57.5611572265625,138.67623901367188,34.4876823425293,145.94754028320312,16.142547607421875,145.970703125,2.259999990463257,69.63999938964844,169.26519775390625,57.93739700317383,55.0519905090332,212.0271453857422,200.57675170898438,33.51486587524414,35.67858123779297,141.25332641601562,114.5350570678711,88.18852233886719,124.34932708740234,76.28484344482422,265.9765625,186.3773956298828,22.593482971191406,42.39251708984375,80.58634185791016,30.64776611328125,21.25200080871582,,269.1295166015625,39.45977783203125,5.529744625091553,43.18815994262695,23.850034713745117,2.3399999141693115,52.66244888305664,364.00091552734375,70.1499252319336,6.019999980926514,47.896217346191406,36.599998474121094,81.91416931152344,23.020000457763672,22.31999969482422,33.98362731933594,57.77566146850586,14.445066452026367,195.74461364746094,157.3800048828125,50.27006149291992
2018-01-11,41.01076889038086,69.87178039550781,31.77583885192871,59.68941879272461,12.140000343322754,63.83399963378906,164.44110107421875,52.900001525878906,20.809465408325195,312.6960144042969,25.26373291015625,,54.875064849853516,333.07000732421875,437.9257507324219,2.8454816341400146,57.49266815185547,141.46034240722656,35.544586181640625,148.64724731445312,16.194900512695312,148.2008514404297,2.4000000953674316,76.2699966430664,169.89344787597656,58.195011138916016,55.1467170715332,212.69412231445312,202.21630859375,33.75107192993164,36.44252014160156,140.4566650390625,115.1874008178711,88.66045379638672,124.47785949707031,76.54175567626953,266.04095458984375,186.30795288085938,23.604999542236328,42.61447525024414,80.82493591308594,30.62944793701172,21.724000930786133,,270.8268737792969,40.486183166503906,5.539633274078369,43.3209228515625,23.908893585205078,2.4000000953674316,52.79962158203125,365.7888488769531,70.19676208496094,6.300000190734863,48.44169616699219,37.5,82.75326538085938,23.639999389648438,22.530000686645508,33.76146697998047,58.458290100097656,14.657716751098633,196.7836151123047,158.39999389648438,50.18244552612305
2018-01-12,41.434261322021484,70.62491607666016,31.72882652282715,60.497562408447266,12.020000457763672,65.26000213623047,166.57774353027344,54.06999969482422,20.871856689453125,320.4057312011719,25.70045280456543,,54.32973861694336,335.95001220703125,452.26220703125,2.9385125637054443,58.46659469604492,142.3800048828125,35.38199234008789,148.8735809326172,16.317058563232422,149.82920837402344,2.240000009536743,73.41000366210938,174.09307861328125,58.16556930541992,56.069095611572266,214.27801513671875,209.11265563964844,34.080509185791016,36.29981231689453,139.67999267578125,115.95913696289062,90.124267578125,126.11412811279297,77.06452178955078,270.1545104980469,177.97335815429688,23.73579978942871,43.398685455322266,82.21971893310547,30.592819213867188,22.12299919128418,,275.7263488769531,40.62303924560547,5.512440204620361,43.81651306152344,23.895814895629883,2.3499999046325684,52.759281158447266,364.49755859375,71.02356719970703,6.360000133514404,49.53269958496094,36.29999923706055,81.64958190917969,23.75,22.4146671295166,33.893123626708984,59.50695037841797,14.877960205078125,199.62110900878906,157.92999267578125,49.816097259521484
2018-01-16,41.22368240356445,72.13822174072266,31.94818687438965,59.297603607177734,11.90999984741211,65.24299621582031,171.65237426757812,52.40999984741211,20.78973388671875,319.4051208496094,25.741653442382812,,54.67249298095703,338.8500061035156,458.34356689453125,2.8454816341400146,58.67203903198242,141.5523223876953,33.09745407104492,147.55606079101562,16.15127182006836,148.2716522216797,2.0899999141693115,71.22000122070312,170.5713653564453,59.07097625732422,56.07156753540039,215.4701690673828,198.73435974121094,34.1240119934082,36.21584701538086,140.02333068847656,116.83422088623047,89.80430603027344,124.8804931640625,75.5671615600586,265.22137451171875,177.00100708007812,22.392925262451172,45.921531677246094,81.07266235351562,30.637592315673828,22.152999877929688,,273.4429016113281,40.33412551879883,5.441489219665527,43.88730239868164,23.935049057006836,2.2799999713897705,55.07526397705078,367.7257385253906,69.66634368896484,6.059999942779541,49.65789794921875,35.650001525878906,80.12257385253906,23.350000381469727,22.67066764831543,34.74888610839844,58.15158462524414,14.748851776123047,203.34042358398438,155.7100067138672,49.77627182006836
